idx,clase
0,black_footed_albatross
1,laysan_albatross
2,sooty_albatross
3,groove_billed_ani
4,crested_auklet
5,least_auklet
6,parakeet_auklet
7,rhinoceros_auklet
8,brewer_blackbird
9,red_winged_blackbird
10,rusty_blackbird
11,yellow_headed_blackbird
12,bobolink
13,indigo_bunting
14,lazuli_bunting
15,painted_bunting
16,cardinal
17,spotted_catbird
18,gray_catbird
19,yellow_breasted_chat
20,eastern_towhee
21,chuck_will_widow
22,brandt_cormorant
23,red_faced_cormorant
24,pelagic_cormorant
25,bronzed_cowbird
26,shiny_cowbird
27,brown_creeper
28,american_crow
29,fish_crow
30,black_billed_cuckoo
31,mangrove_cuckoo
32,yellow_billed_cuckoo
33,gray_crowned_rosy_finch
34,purple_finch
35,northern_flicker
36,acadian_flycatcher
37,great_crested_flycatcher
38,least_flycatcher
39,olive_sided_flycatcher
40,scissor_tailed_flycatcher
41,vermilion_flycatcher
42,yellow_bellied_flycatcher
43,frigatebird
44,northern_fulmar
45,gadwall
46,american_goldfinch
47,european_goldfinch
48,boat_tailed_grackle
49,eared_grebe
50,horned_grebe
51,pied_billed_grebe
52,western_grebe
53,blue_grosbeak
54,evening_grosbeak
55,pine_grosbeak
56,rose_breasted_grosbeak
57,pigeon_guillemot
58,california_gull
59,glaucous_winged_gull
60,heermann_gull
61,herring_gull
62,ivory_gull
63,ring_billed_gull
64,slaty_backed_gull
65,western_gull
66,anna_hummingbird
67,ruby_throated_hummingbird
68,rufous_hummingbird
69,green_violetear
70,long_tailed_jaeger
71,pomarine_jaeger
72,blue_jay
73,florida_jay
74,green_jay
75,dark_eyed_junco
76,tropical_kingbird
77,gray_kingbird
78,belted_kingfisher
79,green_kingfisher
80,pied_kingfisher
81,ringed_kingfisher
82,white_breasted_kingfisher
83,red_legged_kittiwake
84,horned_lark
85,pacific_loon
86,mallard
87,western_meadowlark
88,hooded_merganser
89,red_breasted_merganser
90,mockingbird
91,nighthawk
92,clark_nutcracker
93,white_breasted_nuthatch
94,baltimore_oriole
95,hooded_oriole
96,orchard_oriole
97,scott_oriole
98,ovenbird
99,brown_pelican
100,white_pelican
101,western_wood_pewee
102,sayornis
103,american_pipit
104,whip_poor_will
105,horned_puffin
106,common_raven
107,white_necked_raven
108,american_redstart
109,geococcyx
110,loggerhead_shrike
111,great_grey_shrike
112,baird_sparrow
113,black_throated_sparrow
114,brewer_sparrow
115,chipping_sparrow
116,clay_colored_sparrow
117,house_sparrow
118,field_sparrow
119,fox_sparrow
120,grasshopper_sparrow
121,harris_sparrow
122,henslow_sparrow
123,le_conte_sparrow
124,lincoln_sparrow
125,nelson_sharp_tailed_sparrow
126,savannah_sparrow
127,seaside_sparrow
128,song_sparrow
129,tree_sparrow
130,vesper_sparrow
131,white_crowned_sparrow
132,white_throated_sparrow
133,cape_glossy_starling
134,bank_swallow
135,barn_swallow
136,cliff_swallow
137,tree_swallow
138,scarlet_tanager
139,summer_tanager
140,artic_tern
141,black_tern
142,caspian_tern
143,common_tern
144,elegant_tern
145,forsters_tern
146,least_tern
147,green_tailed_towhee
148,brown_thrasher
149,sage_thrasher
150,black_capped_vireo
151,blue_headed_vireo
152,philadelphia_vireo
153,red_eyed_vireo
154,warbling_vireo
155,white_eyed_vireo
156,yellow_throated_vireo
157,bay_breasted_warbler
158,black_and_white_warbler
159,black_throated_blue_warbler
160,blue_winged_warbler
161,canada_warbler
162,cape_may_warbler
163,cerulean_warbler
164,chestnut_sided_warbler
165,golden_winged_warbler
166,hooded_warbler
167,kentucky_warbler
168,magnolia_warbler
169,mourning_warbler
170,myrtle_warbler
171,nashville_warbler
172,orange_crowned_warbler
173,palm_warbler
174,pine_warbler
175,prairie_warbler
176,prothonotary_warbler
177,swainson_warbler
178,tennessee_warbler
179,wilson_warbler
180,worm_eating_warbler
181,yellow_warbler
182,northern_waterthrush
183,louisiana_waterthrush
184,bohemian_waxwing
185,cedar_waxwing
186,american_three_toed_woodpecker
187,pileated_woodpecker
188,red_bellied_woodpecker
189,red_cockaded_woodpecker
190,red_headed_woodpecker
191,downy_woodpecker
192,bewick_wren
193,cactus_wren
194,carolina_wren
195,house_wren
196,marsh_wren
197,rock_wren
198,winter_wren
199,common_yellowthroat
